quant,bits,group,rb,rc,rdt,layer_mode,ppl
fake,8,64,8,8,80,mid,16.3731
fake,8,64,8,8,40,all,41.3973
fake,8,64,8,8,40,mid,17.1812
fake,8,128,16,16,160,all,12.4017
fake,8,128,16,16,160,mid,12.3968
fake,8,128,16,16,120,all,12.6619
fake,8,128,16,16,120,mid,12.4678
fake,8,128,16,16,80,all,13.1553
fake,8,128,16,16,80,mid,12.5666
fake,8,128,16,16,40,all,14.5174
fake,8,128,16,16,40,mid,12.9872
fake,8,128,16,12,160,all,14.2305
fake,8,128,16,12,160,mid,13.2953
fake,8,128,16,12,120,all,14.6746
fake,8,128,16,12,120,mid,13.3956
fake,8,128,16,12,80,all,15.2796
fake,8,128,16,12,80,mid,13.5475
fake,8,128,16,12,40,all,17.2562
fake,8,128,16,12,40,mid,14.1578
fake,8,128,16,8,160,all,17.3234
fake,8,128,16,8,160,mid,14.4650
fake,8,128,16,8,120,all,17.9756
fake,8,128,16,8,120,mid,14.5756
fake,8,128,16,8,80,all,19.0016
fake,8,128,16,8,80,mid,14.8536
fake,8,128,16,8,40,all,21.7190
fake,8,128,16,8,40,mid,15.6671
fake,8,128,12,16,160,all,13.0672
fake,8,128,12,16,160,mid,12.6629
fake,8,128,12,16,120,all,13.3822
fake,8,128,12,16,120,mid,12.7357
fake,8,128,12,16,80,all,13.9070
fake,8,128,12,16,80,mid,12.8614
fake,8,128,12,16,40,all,15.4372
fake,8,128,12,16,40,mid,13.4013
fake,8,128,12,12,160,all,16.2008
fake,8,128,12,12,160,mid,13.7015
fake,8,128,12,12,120,all,16.8034
fake,8,128,12,12,120,mid,13.7897
fake,8,128,12,12,80,all,17.5163
fake,8,128,12,12,80,mid,13.9714
fake,8,128,12,12,40,all,19.9251
fake,8,128,12,12,40,mid,14.6462
fake,8,128,12,8,160,all,21.3474
fake,8,128,12,8,160,mid,14.8940
fake,8,128,12,8,120,all,22.2821
fake,8,128,12,8,120,mid,15.0260
fake,8,128,12,8,80,all,23.5618
fake,8,128,12,8,80,mid,15.2692
fake,8,128,12,8,40,all,27.2719
fake,8,128,12,8,40,mid,16.1272
fake,8,128,8,16,160,all,14.8354
fake,8,128,8,16,160,mid,13.4376
fake,8,128,8,16,120,all,15.2896
fake,8,128,8,16,120,mid,13.5454
fake,8,128,8,16,80,all,16.0725
fake,8,128,8,16,80,mid,13.7219
fake,8,128,8,16,40,all,18.3227
fake,8,128,8,16,40,mid,14.3983
fake,8,128,8,12,160,all,21.7731
fake,8,128,8,12,160,mid,15.0210
fake,8,128,8,12,120,all,22.6663
fake,8,128,8,12,120,mid,15.1747
fake,8,128,8,12,80,all,23.9098
fake,8,128,8,12,80,mid,15.3457
fake,8,128,8,12,40,all,27.7232
fake,8,128,8,12,40,mid,16.1957
fake,8,128,8,8,160,all,31.8439
fake,8,128,8,8,160,mid,15.9675
fake,8,128,8,8,120,all,33.2454
fake,8,128,8,8,120,mid,16.0877
fake,8,128,8,8,80,all,35.7166
fake,8,128,8,8,80,mid,16.3575
fake,8,128,8,8,40,all,41.4570
fake,8,128,8,8,40,mid,17.1695
fake,4,64,16,16,160,all,12.4853
fake,4,64,16,16,160,mid,12.4438
fake,4,64,16,16,120,all,12.7270
fake,4,64,16,16,120,mid,12.4903
fake,4,64,16,16,80,all,13.2774
fake,4,64,16,16,80,mid,12.6263
fake,4,64,16,16,40,all,14.6011
fake,4,64,16,16,40,mid,13.0250
fake,4,64,16,12,160,all,14.4240
fake,4,64,16,12,160,mid,13.3980
fake,4,64,16,12,120,all,14.7915
fake,4,64,16,12,120,mid,13.4576
fake,4,64,16,12,80,all,15.5137
fake,4,64,16,12,80,mid,13.6372
fake,4,64,16,12,40,all,17.4275
fake,4,64,16,12,40,mid,14.2077
fake,4,64,16,8,160,all,17.7220
fake,4,64,16,8,160,mid,14.6013
fake,4,64,16,8,120,all,18.2301
fake,4,64,16,8,120,mid,14.6972
fake,4,64,16,8,80,all,19.3006
fake,4,64,16,8,80,mid,14.9293
fake,4,64,16,8,40,all,22.0382
fake,4,64,16,8,40,mid,15.7394
fake,4,64,12,16,160,all,13.2285
fake,4,64,12,16,160,mid,12.7108
fake,4,64,12,16,120,all,13.5133
fake,4,64,12,16,120,mid,12.7985
fake,4,64,12,16,80,all,14.0890
fake,4,64,12,16,80,mid,12.9166
fake,4,64,12,16,40,all,15.5794
fake,4,64,12,16,40,mid,13.4451
fake,4,64,12,12,160,all,16.3807
fake,4,64,12,12,160,mid,13.8113
fake,4,64,12,12,120,all,16.9274
fake,4,64,12,12,120,mid,13.8885
fake,4,64,12,12,80,all,17.6955
fake,4,64,12,12,80,mid,14.0791
fake,4,64,12,12,40,all,20.1603
fake,4,64,12,12,40,mid,14.7208
fake,4,64,12,8,160,all,21.7992
fake,4,64,12,8,160,mid,15.0125
fake,4,64,12,8,120,all,22.4925
fake,4,64,12,8,120,mid,15.1195
fake,4,64,12,8,80,all,23.9696
fake,4,64,12,8,80,mid,15.3531
fake,4,64,12,8,40,all,27.7441
fake,4,64,12,8,40,mid,16.2036
fake,4,64,8,16,160,all,15.0408
fake,4,64,8,16,160,mid,13.5482
fake,4,64,8,16,120,all,15.4610
fake,4,64,8,16,120,mid,13.6334
fake,4,64,8,16,80,all,16.2694
fake,4,64,8,16,80,mid,13.8230
fake,4,64,8,16,40,all,18.4744
fake,4,64,8,16,40,mid,14.4469
fake,4,64,8,12,160,all,21.6993
fake,4,64,8,12,160,mid,15.1332
fake,4,64,8,12,120,all,22.4999
fake,4,64,8,12,120,mid,15.3025
fake,4,64,8,12,80,all,23.8053
fake,4,64,8,12,80,mid,15.4737
fake,4,64,8,12,40,all,27.5161
