quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,128,12,8,20,late,16.6115
hadamard,8,128,12,8,20,early,12.9685
hadamard,8,128,12,4,160,all,34.2620
hadamard,8,128,12,4,160,mid,17.8058
hadamard,8,128,12,4,160,late,14.7516
hadamard,8,128,12,4,160,early,13.1816
hadamard,8,128,12,4,120,all,35.3742
hadamard,8,128,12,4,120,mid,18.0336
hadamard,8,128,12,4,120,late,15.0854
hadamard,8,128,12,4,120,early,13.1960
hadamard,8,128,12,4,80,all,37.6401
hadamard,8,128,12,4,80,mid,18.3557
hadamard,8,128,12,4,80,late,15.4722
hadamard,8,128,12,4,80,early,13.2282
hadamard,8,128,12,4,40,all,42.7374
hadamard,8,128,12,4,40,mid,19.1462
hadamard,8,128,12,4,40,late,16.5095
hadamard,8,128,12,4,40,early,13.2927
hadamard,8,128,12,4,20,all,51.9231
hadamard,8,128,12,4,20,mid,20.4206
hadamard,8,128,12,4,20,late,17.8966
hadamard,8,128,12,4,20,early,13.4161
hadamard,8,128,8,16,160,all,14.8475
hadamard,8,128,8,16,160,mid,13.4339
hadamard,8,128,8,16,160,late,12.9278
hadamard,8,128,8,16,160,early,12.4972
hadamard,8,128,8,16,120,all,15.2908
hadamard,8,128,8,16,120,mid,13.5446
hadamard,8,128,8,16,120,late,13.2338
hadamard,8,128,8,16,120,early,12.4979
hadamard,8,128,8,16,80,all,16.0927
hadamard,8,128,8,16,80,mid,13.7307
hadamard,8,128,8,16,80,late,13.6404
hadamard,8,128,8,16,80,early,12.5091
hadamard,8,128,8,16,40,all,18.3102
hadamard,8,128,8,16,40,mid,14.3791
hadamard,8,128,8,16,40,late,14.5811
hadamard,8,128,8,16,40,early,12.5461
hadamard,8,128,8,16,20,all,23.2496
hadamard,8,128,8,16,20,mid,15.8043
hadamard,8,128,8,16,20,late,15.8525
hadamard,8,128,8,16,20,early,12.6218
hadamard,8,128,8,12,160,all,21.7792
hadamard,8,128,8,12,160,mid,15.0256
hadamard,8,128,8,12,160,late,13.6083
hadamard,8,128,8,12,160,early,12.6668
hadamard,8,128,8,12,120,all,22.6323
hadamard,8,128,8,12,120,mid,15.1629
hadamard,8,128,8,12,120,late,13.9128
hadamard,8,128,8,12,120,early,12.6854
hadamard,8,128,8,12,80,all,23.9117
hadamard,8,128,8,12,80,mid,15.3548
hadamard,8,128,8,12,80,late,14.3456
hadamard,8,128,8,12,80,early,12.6968
hadamard,8,128,8,12,40,all,27.7124
hadamard,8,128,8,12,40,mid,16.1862
hadamard,8,128,8,12,40,late,15.3250
hadamard,8,128,8,12,40,early,12.7436
hadamard,8,128,8,12,20,all,34.7567
hadamard,8,128,8,12,20,mid,17.7240
hadamard,8,128,8,12,20,late,16.5879
hadamard,8,128,8,12,20,early,12.8107
hadamard,8,128,8,8,160,all,31.8359
hadamard,8,128,8,8,160,mid,15.9667
hadamard,8,128,8,8,160,late,13.8738
hadamard,8,128,8,8,160,early,12.8485
hadamard,8,128,8,8,120,all,33.3109
hadamard,8,128,8,8,120,mid,16.1037
hadamard,8,128,8,8,120,late,14.2729
hadamard,8,128,8,8,120,early,12.8676
hadamard,8,128,8,8,80,all,35.7399
hadamard,8,128,8,8,80,mid,16.3545
hadamard,8,128,8,8,80,late,14.7327
hadamard,8,128,8,8,80,early,12.8833
hadamard,8,128,8,8,40,all,41.4771
hadamard,8,128,8,8,40,mid,17.1828
hadamard,8,128,8,8,40,late,15.6766
hadamard,8,128,8,8,40,early,12.9477
hadamard,8,128,8,8,20,all,52.9811
hadamard,8,128,8,8,20,mid,18.6487
hadamard,8,128,8,8,20,late,17.1752
hadamard,8,128,8,8,20,early,13.0355
hadamard,8,128,8,4,160,all,37.7137
hadamard,8,128,8,4,160,mid,18.7596
hadamard,8,128,8,4,160,late,14.8456
hadamard,8,128,8,4,160,early,13.2569
hadamard,8,128,8,4,120,all,39.1431
hadamard,8,128,8,4,120,mid,18.9162
hadamard,8,128,8,4,120,late,15.2457
hadamard,8,128,8,4,120,early,13.2668
hadamard,8,128,8,4,80,all,41.7626
hadamard,8,128,8,4,80,mid,19.1985
hadamard,8,128,8,4,80,late,15.7320
hadamard,8,128,8,4,80,early,13.2970
hadamard,8,128,8,4,40,all,47.8437
hadamard,8,128,8,4,40,mid,19.8998
hadamard,8,128,8,4,40,late,16.8386
hadamard,8,128,8,4,40,early,13.3783
hadamard,8,128,8,4,20,all,58.9194
hadamard,8,128,8,4,20,mid,21.1861
hadamard,8,128,8,4,20,late,18.2482
hadamard,8,128,8,4,20,early,13.5225
hadamard,8,128,4,16,160,all,22.4121
hadamard,8,128,4,16,160,mid,14.9513
hadamard,8,128,4,16,160,late,13.8437
hadamard,8,128,4,16,160,early,12.6791
hadamard,8,128,4,16,120,all,23.3861
hadamard,8,128,4,16,120,mid,15.1251
hadamard,8,128,4,16,120,late,14.2022
hadamard,8,128,4,16,120,early,12.6833
hadamard,8,128,4,16,80,all,25.1707
hadamard,8,128,4,16,80,mid,15.4050
hadamard,8,128,4,16,80,late,14.7256
hadamard,8,128,4,16,80,early,12.6960
hadamard,8,128,4,16,40,all,29.3597
hadamard,8,128,4,16,40,mid,16.1836
hadamard,8,128,4,16,40,late,15.7247
hadamard,8,128,4,16,40,early,12.7571
hadamard,8,128,4,16,20,all,36.9688
hadamard,8,128,4,16,20,mid,17.5519
hadamard,8,128,4,16,20,late,17.0603
hadamard,8,128,4,16,20,early,12.8581
hadamard,8,128,4,12,160,all,35.9848
hadamard,8,128,4,12,160,mid,17.3854
hadamard,8,128,4,12,160,late,15.1239
hadamard,8,128,4,12,160,early,12.9583
hadamard,8,128,4,12,120,all,37.2036
hadamard,8,128,4,12,120,mid,17.5271
hadamard,8,128,4,12,120,late,15.4661
hadamard,8,128,4,12,120,early,12.9648
hadamard,8,128,4,12,80,all,39.4517
hadamard,8,128,4,12,80,mid,17.7639
hadamard,8,128,4,12,80,late,15.9406
hadamard,8,128,4,12,80,early,12.9794
hadamard,8,128,4,12,40,all,45.5825
hadamard,8,128,4,12,40,mid,18.4920
hadamard,8,128,4,12,40,late,16.9043
hadamard,8,128,4,12,40,early,13.0521
hadamard,8,128,4,12,20,all,55.9197
hadamard,8,128,4,12,20,mid,19.8836
hadamard,8,128,4,12,20,late,18.2245
